Date,Open,High,Low,Close,Volume
2024-01-02,12.45,12.78,12.31,12.65,45892300
2024-01-03,12.67,12.89,12.54,12.73,38456200
2024-01-04,12.75,12.95,12.68,12.81,42167800
2024-01-05,12.83,13.02,12.76,12.89,35923400
2024-01-08,12.91,13.15,12.85,13.03,41258600
2024-01-09,13.05,13.23,12.98,13.12,37689900
2024-01-10,13.14,13.34,13.07,13.21,44578800
2024-01-11,13.23,13.42,13.16,13.29,39885500
2024-01-12,13.31,13.48,13.24,13.35,36798200
2024-01-16,13.37,13.56,13.29,13.44,38967400
2024-01-17,13.46,13.64,13.38,13.52,41234500
2024-01-18,13.54,13.71,13.47,13.59,37845600
2024-01-19,13.61,13.78,13.53,13.67,39576800
2024-01-22,13.69,13.85,13.61,13.74,35289700
2024-01-23,13.76,13.92,13.68,13.81,42156800
2024-01-24,13.83,13.98,13.75,13.87,38945200
2024-01-25,13.89,14.04,13.81,13.93,40567300
2024-01-26,13.95,14.12,13.87,14.01,37234600
2024-01-29,14.03,14.19,13.95,14.08,39847500
2024-01-30,14.10,14.25,14.02,14.15,41678900
