Date,Open,High,Low,Close,Volume
2024-01-02,475.23,476.85,474.12,476.28,45678900
2024-01-03,476.50,477.92,475.88,477.15,38945200
2024-01-04,477.00,478.45,476.22,477.89,42156800
2024-01-05,477.85,479.12,477.55,478.67,35892400
2024-01-08,478.90,480.25,478.45,479.58,41245600
2024-01-09,479.60,481.15,479.22,480.33,37658900
2024-01-10,480.45,481.89,479.98,481.22,44567800
2024-01-11,481.30,482.75,480.85,482.15,39874500
2024-01-12,482.20,483.65,481.78,483.42,36789200
2024-01-16,483.50,484.92,482.88,484.18,42156300
2024-01-17,484.25,485.78,483.91,485.33,38947100
2024-01-18,485.40,486.85,484.92,486.27,41235800
2024-01-19,486.30,487.82,485.75,487.19,37864200
2024-01-22,487.25,488.94,486.83,488.51,39758400
2024-01-23,488.55,490.12,488.02,489.78,42147500
2024-01-24,489.80,491.45,489.33,490.92,38965700
2024-01-25,490.95,492.58,490.41,491.84,41236900
2024-01-26,491.90,493.47,491.52,492.76,37845600
2024-01-29,492.80,494.32,492.35,493.68,39674800
2024-01-30,493.70,495.25,493.28,494.59,42158900
